Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	PATO:0001174	rdfs:label	obsolete urine composition	
ERROR	duplicate_label	PATO:0001175	rdfs:label	obsolete urine composition	
ERROR	duplicate_label	PATO:0000195	rdfs:label	obsolete startle response	
ERROR	duplicate_label	PATO:0000754	rdfs:label	obsolete startle response	
ERROR	duplicate_label	PATO:0001180	rdfs:label	obsolete relative response	
ERROR	duplicate_label	PATO:0001182	rdfs:label	obsolete relative response	
ERROR	duplicate_label	PATO:0000104	rdfs:label	obsolete osmotic response sensitivity	
ERROR	duplicate_label	PATO:0000533	rdfs:label	obsolete osmotic response sensitivity	
WARN	missing_definition	BFO:0000050	IAO:0000115		
WARN	missing_definition	IAO:0000115	IAO:0000115		
WARN	missing_definition	IAO:0100001	IAO:0000115		
WARN	missing_definition	PATO:0000068	IAO:0000115		
WARN	missing_definition	PATO:0001492	IAO:0000115		
WARN	missing_definition	PATO:0001493	IAO:0000115		
WARN	missing_definition	PATO:0001494	IAO:0000115		
WARN	missing_definition	PATO:0001760	IAO:0000115		
WARN	missing_definition	PATO:0001761	IAO:0000115		
WARN	missing_definition	PATO:0001762	IAO:0000115		
WARN	missing_definition	PATO:0001763	IAO:0000115		
WARN	missing_definition	PATO:0001767	IAO:0000115		
WARN	missing_definition	PATO:0002016	IAO:0000115		
WARN	missing_definition	PATO:0002017	IAO:0000115		
WARN	missing_definition	PATO:0002018	IAO:0000115		
WARN	missing_definition	PATO:0002062	IAO:0000115		
WARN	missing_definition	PATO:0002142	IAO:0000115		
WARN	missing_definition	PATO:0002143	IAO:0000115		
WARN	missing_definition	PATO:0002267	IAO:0000115		
WARN	missing_definition	PATO:0002290	IAO:0000115		
WARN	missing_definition	PATO:0002321	IAO:0000115		
WARN	missing_definition	PATO:0002322	IAO:0000115		
WARN	missing_definition	RO:0002604	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#correlates_with	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#has_dividend_entity	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#has_dividend_quality	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#has_divisor_entity	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#has_divisor_quality	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#has_ratio_quality	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#has_relative_magnitude	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#is_magnitude_of	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#is_measurement_of	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#is_unit_of	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#realized_by	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/pato#singly_occurring_form_of	IAO:0000115		
