pato_id	label	parent_pato_ids	parent_labels	temporary_flopo_id	examples
PATO:0104001	creamy	PATO:0000323|PATO:0000324	white|yellow	FLOPO_0980084	Acacia etbaica ssp. uncinata: creamy flowers || Aloe sp. aff. tomentosa: creamy flowers || Andrachne aspera: creamy flowers || Andrachne aspera var. glandulosa: creamy flowers
PATO:0104002	greenish	PATO:0000320	green	FLOPO_0980085	Alternanthera pungens: tiny greenish flowers || Amaranthus graecizans: greenish or pinkish flowers || Amaranthus spinosus: tiny greenish flowers || An erect slender narrow-leaved branching: tiny greenish flowers 2 mm wide
PATO:0104003	reddish	PATO:0000322	red	FLOPO_0980086	Allophylus rubifolius: some of them reddish coloured || Ammannia baccifera: tiny round reddish fruits || Asphodelus refractus: a reddish line down the centre of each tepal || Asphodelus refractus: stems are reddish
PATO:0104004	pale lilac	PATO:0001943	lilac	FLOPO_0980087	An erect bushy leafy shrublet: pale lilac flowers || An erect woody shrublet: pale lilac flowers || Aptosimum pumilum: pale lilac flowers || Astragalus tribuloides var. minutus: pale lilac flowers
PATO:0104005	deep yellow	PATO:0000324	yellow	FLOPO_0980088	Abutilon figarianum: deep yellow flowers || Achillea biebersteinii: tiny deep yellow flowers || Argemone mexicana: deep yellow flowers || Biscutella didyma: deep yellow flowers
PATO:0104006	greyish	PATO:0000950	grey	FLOPO_0980089	An erect many-stemmed: downy greyish leaves || Bassia eriophora: small greyish leaves || Bupieriiy glosierifers: greyish leaves || Euphorbia schimperi: greyish stems
PATO:0104007	grey-green	PATO:0000950|PATO:0000320	grey|green	FLOPO_0980090	Achillea biebersteinii: feathery grey-green leaves || An erect bushy leafy shrublet: grey-green velvety leaves || Anthemis deserti: downy grey-green leaves || Caralluma edulis: grey-green stems
PATO:0104008	rosy-lilac	PATO:0001425|PATO:0000954|PATO:0000322|PATO:0001943	rosy|pink|red|lilac	FLOPO_0980091	An erect herb branching from the base with: deep rosy-lilac flowers || Astragalus abyssinicus ssp. abyssinicus: rosy-lilac || Commicarpus grandiflorus: rosy-lilac flowers || Dolichos trilobus: rosy-lilac flowers
PATO:0104009	silvery	PATO:0000950	grey	FLOPO_0980092	Argyrolobium confertum: silvery leaves || Astragalus schimperi: leaves are sometimes narrow and silvery || Astragalus trachoniticus: silvery leaves || Crotalaria quartiniana: silvery stems
PATO:0104010	papery	PATO:0000150	texture	FLOPO_0980093	Acacia ehrenbergiana: peeling papery bark || Achyranthes aspera var. sicula: pale green papery flowers || Callipeltis cucullaria: in papery bracteoles || Commiphora kataf: peeling papery bark
