?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/GO_0051130>	"Any process that activates or increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."	
<http://purl.obolibrary.org/obo/UBERON_0001007>	"Anatomical system that has as its parts the organs devoted to the ingestion, digestion, and assimilation of food and the discharge of residual wastes."	"BILA:0000082 MIAA:0000018 MAT:0000018 AAO:0000129 Wikipedia:Digestive_system galen:DigestiveSystem MESH:D004064 SCTID:278859004 ncithesaurus:Digestive_System MA:0002431 EFO:0000793 TAO:0000339 XAO:0000125 GAID:278 CALOHA:TS-1293 FMA:7152 TADS:0000170 ZFA:0000339 WBbt:0005748 BTO:0000058"
<http://purl.obolibrary.org/obo/GO_0032102>	"Any process that stops, prevents, or reduces the frequency, rate or extent of a response to an external stimulus."	
<http://purl.obolibrary.org/obo/PATO_0001768>	"A viability quality inhering in a bearer or a population by virtue of some of it's members' inability to survive to reproduce."	
<http://purl.obolibrary.org/obo/GO_0021501>	"The formation of the prechordal plate. The prechordal plate is a thickening of the endoderm at the cranial end of the primitive streak formed by the involution of Spemann's organizer cells. The prechordal plate and the notochord induce the formation of the neural plate from the overlying ectodermal cells."	
<http://purl.obolibrary.org/obo/GO_0086027>	"Any process that mediates the transfer of information from an AV node cardiac muscle cell to a bundle of His cardiomyocyte."	
<http://purl.obolibrary.org/obo/PATO_0002126>	"A quality inhering in a bearer by virtue of the bearer's containing bone."	
<http://purl.obolibrary.org/obo/GO_0060932>	"The process in which a relatively unspecialized cell acquires the specialized structural and/or functional features of a cell of the His-Purkinje system. These cells form the fibers regulate cardiac muscle contraction in the ventricles."	
<http://purl.obolibrary.org/obo/PATO_0002104>	"A compositional quality inhering in an bearer by virtue of the bearer's infiltration by leukocytes, local edema and accumulation of plasma proteins."	
<http://purl.obolibrary.org/obo/PATO_0001726>	"A male receptivity which is relatively low."	
<http://purl.obolibrary.org/obo/PATO_0000107>		
<http://purl.obolibrary.org/obo/UBERON_0007829>	"A bone that is part of a pectoral girdle region."	"EMAPA:35669 MA:0000292"
<http://purl.obolibrary.org/obo/UBERON_0009125>	"Epibranchial placode between geniculate and nodose. Associated with 2nd branchial cleft."	"XAO:0004212 ZFA:0001296 TAO:0001296 EHDAA2:0004207"
<http://purl.obolibrary.org/obo/CL_0000667>	"An extracellular matrix secreting cell that secretes collagen."	
<http://purl.obolibrary.org/obo/GO_1904933>	"Any process that modulates the frequency, rate or extent of cell proliferation in midbrain."	
<http://purl.obolibrary.org/obo/GO_1905311>	"Any process that stops, prevents or reduces the frequency, rate or extent of cardiac neural crest cell migration involved in outflow tract morphogenesis."	
<http://purl.obolibrary.org/obo/PATO_0001249>	"A color consisting of green hue and low brightness."	
<http://purl.obolibrary.org/obo/UBERON_0002200>	"Vasculature that is part of a head [Automatically generated definition]."	"EFO:0003656 TAO:0001267 XAO:0004152 ZFA:0001267 FMA:74710"
<http://purl.obolibrary.org/obo/UBERON_0010321>	"A skeletal element that is part of a orbital region."	
<http://purl.obolibrary.org/obo/GO_0001834>	"The proliferation of cells in the trophectoderm."	
<http://purl.obolibrary.org/obo/GO_0030424>	"The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter."	"Wikipedia:Axon NIF_Subcellular:sao1770195789"
<http://purl.obolibrary.org/obo/CL_0019019>	"A smooth muscle cell that is part of the tracheobronchial tree."	"https://cellxgene.cziscience.com/cellguide/CL_0019019"
<http://purl.obolibrary.org/obo/UBERON_0016405>	"A capillary that is part of a lung."	"FMA:14121"
<http://purl.obolibrary.org/obo/PATO_0000980>		
<http://purl.obolibrary.org/obo/GO_0051179>	"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."	
<http://purl.obolibrary.org/obo/PATO_0000108>		
<http://purl.obolibrary.org/obo/PATO_0002135>	"A duration quality of a process inhering in a bearer by virtue of the bearer's delay to complete the closure of the opening of an anatomical entity."	
<http://purl.obolibrary.org/obo/GO_0003382>	"The change in form that occurs when an epithelial cell progresses from its initial formation to its mature state."	
<http://purl.obolibrary.org/obo/GO_1905269>	"Any process that activates or increases the frequency, rate or extent of chromatin organization."	
<http://purl.obolibrary.org/obo/UBERON_0001773>	"Opaque fibrous outer layer of the eyeball[ZFA,Kardong,WP]."	"XAO:0000183 MESH:D012590 EMAPA:19027 AAO:0010354 NCIT:C12784 GAID:911 ZFA:0005563 EV:0100342 VHOG:0001274 FMA:58269 SCTID:181163006 Wikipedia:Sclera MA:0000280 BTO:0001606"
<http://purl.obolibrary.org/obo/PATO_0040054>	"A protogynous quality whereby organisms start out as female and change to hermaphrodite at a later life stage."	
